source_plot_id,plot_code,let_out_id,let_out_name,letout_b_area_id,tenancy_id,tenancy_area_sqm,consumed_fsi,built_up_area_rec,built_up_area_commercial,is_active,status,from_date,to_date,update_timestamp
8063,103010116,4570,SITE AT JN.OF BDRY.RD.&FRANJI,846,10301529,369.4900,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8064,103010117,4571,2 SOUTH OF GODOWN C 10,852,10301532,18.5800,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8065,103010118,4572,31,867,10301541,25.9200,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8066,103010119,4573,32,868,10301542,36.4200,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8067,103010120,4574,34 ON JETHA K 131,872,10301544,5.9500,0.0000,0.0000,5.8300,True,,2004-04-01,,2022-10-21 00:00:00
8067,103010120,4574,34 ON JETHA K 131,871,10301544,5.9500,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8068,103010121,4575,1 SOUTH OF GDN.E-54,875,10301546,131.6400,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8069,103010122,4576,WATCHMAN'S CHKY NR.PT SH.TW-2,936,10301628,1.2700,1.0000,0.0000,1.2700,True,,2004-04-01,,2022-10-21 00:00:00
8069,103010122,4576,WATCHMAN'S CHKY NR.PT SH.TW-2,935,10301628,1.2700,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8222,103010123,4728,OLD ARP'B'-5,860,10301537,293.0500,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8223,103010124,4729,OLD RR 979,908,10301612,427.3500,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8224,103010125,4730,OLD ARP PLOT B -6,925,10301622,307.1800,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8226,103010127,4732,OLD ARP B-4 IN LIEU OF K-153,943,10301633,329.0900,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
8227,103010128,4733,OLD ARP B-7 IN LIEU OF JH K152,944,10301634,310.9100,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
3443,104010082,913,27 AT COAL DEPOT,1206,10401302,166.8500,0.1000,0.0000,16.6900,True,,2004-04-01,,2022-10-21 00:00:00
3443,104010082,913,27 AT COAL DEPOT,1205,10401302,166.8500,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3467,104010104,935,3B,1341,10401425,244.8000,0.4600,0.0000,112.6100,True,,2004-04-01,,2022-10-21 00:00:00
3467,104010104,935,3B,1340,10401425,244.8000,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3516,104010149,980,D-2  COAL DEPOT,1474,10401544,278.7100,1.0100,0.0000,281.5000,True,,2004-04-01,,2022-10-21 00:00:00
3516,104010149,980,D-2  COAL DEPOT,1473,10401544,278.7100,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3552,104010185,1015,NORTH OF F SHED GRAIN DEPOT,1097,10401138,82.3100,0.9500,0.0000,78.1900,True,,2004-04-01,,2022-10-21 00:00:00
3552,104010185,1015,NORTH OF F SHED GRAIN DEPOT,1096,10401138,82.3100,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3561,104010194,1023,Q-SOUTH MAZAGAON SEWREE RECLN.,1131,10401207,1264.8000,0.7500,0.0000,948.6000,True,,2004-04-01,,2022-10-21 00:00:00
3561,104010194,1023,Q-SOUTH MAZAGAON SEWREE RECLN.,1130,10401207,1264.8000,0.0000,0.0000,0.0000,True,,2004-01-01,2004-03-31,2022-10-21 00:00:00
3561,104010194,1023,Q-SOUTH MAZAGAON SEWREE RECLN.,1129,10401207,1454.2700,0.0000,0.0000,0.0000,True,,1873-01-01,2003-12-31,2022-10-21 00:00:00
3575,104010208,1037,RR 1678,1150,10401219,2748.5300,0.8000,0.0000,2198.8200,True,,2004-04-01,,2022-10-21 00:00:00
3575,104010208,1037,RR 1678,1149,10401219,2748.5300,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
3589,104010222,1046,SHED ON R R 1715  M S R,1116,10401150,7332.1900,1.0000,0.0000,5425.8200,True,,2004-04-01,,2022-10-21 00:00:00
3589,104010222,1046,SHED ON R R 1715  M S R,1115,10401150,7332.1900,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
8398,104010222,6072,E SHED(BAY 53 TO 70),4488,10401151,2659.7600,1.0000,0.0000,,True,,2025-04-17,,2022-10-21 00:00:00
7944,104010234,4460,R R 1465 & 1466,1122,10401203,7646.8500,0.0000,0.0000,6423.3500,True,,2004-04-01,,2022-10-21 00:00:00
7944,104010234,4460,R R 1465 & 1466,1121,10401203,7646.8500,0.0000,0.0000,0.0000,True,,1873-01-01,2004-03-31,2022-10-21 00:00:00
7997,104010235,4504,NORTH OF A SHED GRAIN DEPOT,1058,10401110,117.0600,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
7998,104010236,4505,RR NO 2048,1059,10401111,355.3500,0.0000,0.0000,0.0000,True,,1873-01-01,,2022-10-21 00:00:00
