source_plot_id,plot_code,let_out_id,let_out_name,letout_status,tenancy_mapping_id,tenancy_id,unit_id,company_name,is_active,is_alloted,current_rent,current_rent_commercial,home_rate,non_home_rate,g_secrate,long_lease_years,agreement_start_date,agreement_end_date,lac_approval_date,chairman_approval_date,board_approval_date,tamps_approval_date,commencement_date,termination_date,is_upfront_premimum,upfront_premimum_amount,is_service_charge_applicable,percent_rate_revision,amount_rate_revision,update_timestamp
3355,103010106,5431,WEST PORN OF SHED TW-2(HALF PN,A,3881,10301625,3,,False,False,,,,,,,,,,,,,,,False,37.00,True,4.00,,2022-09-20 17:36:21.777000
3355,103010106,5432,WEST PORN OF SHED TW-2(HALF PN,A,3882,10301625,3,,False,False,,,,,,,,,,,,,,,False,521.00,True,4.00,,2022-09-20 17:36:21.777000
8055,103010108,4562,GODOWN NO. E 52,A,3382,10301204,3,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-09-20 17:36:21.777000
8056,103010109,4563,NORTH OF GDN.NO.J-154 PLOT NO3,A,3383,10301405,3,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-09-20 17:36:21.777000
8057,103010110,4564,PART-OF JETHA  B-29,A,3384,10301439,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8057,103010110,5457,PART-OF JETHA  B-29,A,3906,10301439,3,,False,False,,,,,,,,,,,,,,,False,32.00,True,4.00,,2022-09-20 17:36:21.777000
8058,103010111,4565,OPEN JETHA D-45,A,3385,10301445,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8059,103010112,4566,OPEN JETHA D-46,A,3386,10301446,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8060,103010113,4567,OPOE  JETHA D-47,A,3387,10301447,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8061,103010114,4568,OPEN JETHA D 65,A,3388,10301515,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8062,103010115,4569,OPEN JETHA K 149,A,3389,10301526,3,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-09-20 17:36:21.777000
8063,103010116,4570,SITE AT JN.OF BDRY.RD.&FRANJI,A,3390,10301529,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8064,103010117,4571,2 SOUTH OF GODOWN C 10,A,3391,10301532,3,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-09-20 17:36:21.777000
8065,103010118,4572,31,A,3392,10301541,3,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-09-20 17:36:21.777000
8066,103010119,4573,32,A,3393,10301542,3,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-09-20 17:36:21.777000
8067,103010120,4574,34 ON JETHA K 131,A,3394,10301544,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8068,103010121,4575,1 SOUTH OF GDN.E-54,A,3395,10301546,3,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-09-20 17:36:21.777000
8069,103010122,4576,WATCHMAN'S CHKY NR.PT SH.TW-2,A,3396,10301628,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8222,103010123,4728,OLD ARP'B'-5,A,163,10301537,3,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-09-20 17:36:21.777000
8223,103010124,4729,OLD RR 979,A,164,10301612,3,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-09-20 17:36:21.777000
8224,103010125,4730,OLD ARP PLOT B -6,A,165,10301622,3,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-09-20 17:36:21.777000
8226,103010127,4732,OLD ARP B-4 IN LIEU OF K-153,A,167,10301633,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
8227,103010128,4733,OLD ARP B-7 IN LIEU OF JH K152,A,168,10301634,3,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-09-20 17:36:21.777000
3443,104010082,913,27 AT COAL DEPOT,A,763,10401302,4,,True,True,,,,,,,,,,,,,,,False,,True,,,2023-12-28 12:48:52.117000
3443,104010082,913,27 AT COAL DEPOT,A,5090,31101116,11,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:44:29.924000
3467,104010104,935,3B,A,785,10401425,4,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:09:26.973000
3467,104010104,935,3B,A,5113,31101134,11,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:44:29.924000
3516,104010149,980,D-2  COAL DEPOT,A,832,10401544,4,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:09:26.973000
3516,104010149,980,D-2  COAL DEPOT,A,5161,31202102,12,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-11-17 15:40:44.083000
3552,104010185,1015,NORTH OF F SHED GRAIN DEPOT,A,867,10401138,4,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:09:26.973000
3552,104010185,1015,NORTH OF F SHED GRAIN DEPOT,A,5193,31202125,12,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-11-17 15:40:44.083000
3552,104010185,5029,NORTH OF F SHED GRAIN DEPOT,A,3443,10401138,4,,True,True,,,,,,,,,,,,,,,False,44.00,True,4.00,,2025-10-01 10:09:26.973000
3552,104010185,5030,NORTH OF F SHED GRAIN DEPOT,A,3444,10401138,4,,True,True,,,,,,,,,,,,,,,False,45.00,True,4.00,,2025-10-01 10:09:26.973000
3552,104010185,5305,NORTH OF F SHED GRAIN DEPOT,A,3756,10401138,4,,True,True,,,,,,,,,,,,,,,False,525.00,True,4.00,,2025-10-01 10:09:26.973000
3561,104010194,1023,Q-SOUTH MAZAGAON SEWREE RECLN.,A,875,10401207,4,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:09:26.973000
3561,104010194,1023,Q-SOUTH MAZAGAON SEWREE RECLN.,A,5199,31202129,12,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-17 15:40:44.083000
3575,104010208,1037,RR 1678,A,888,10401219,4,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:09:26.973000
3575,104010208,1037,RR 1678,A,5217,31202150,12,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-17 15:40:44.083000
3589,104010222,1046,SHED ON R R 1715  M S R,A,897,10401150,4,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-05-31 11:43:37.247000
3589,104010222,1046,SHED ON R R 1715  M S R,A,5220,31202223,12,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:44:32.243000
3589,104010222,5037,SHED ON R R 1715  M S R,A,3452,10401150,4,,False,False,,,,,,,,,,,,,,,False,48.00,True,4.00,,2022-05-31 11:43:37.247000
8398,104010222,6072,E SHED(BAY 53 TO 70),A,5676,10401151,4,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2026-05-07 10:01:21.617000
7944,104010234,4460,R R 1465 & 1466,A,3309,10401203,4,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-05-31 11:43:37.247000
7997,104010235,4504,NORTH OF A SHED GRAIN DEPOT,A,3353,10401110,4,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-05-31 11:43:37.247000
7998,104010236,4505,RR NO 2048,A,3354,10401111,4,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-05-31 11:43:37.247000
8070,104010238,4577,SOUTH OF C SHED GRAIN DEPOT,A,3397,10401114,4,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-05-31 11:43:37.247000
8071,104010239,4578,NORTH OF C SHED,A,3398,10401118,4,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-05-31 11:43:37.247000
8072,104010240,4579,SOUTH OF D SHED,A,3399,10401121,4,,False,False,,,,,,,,,,,,,,,False,,True,,,2022-05-31 11:43:37.247000
8073,104010241,4580,SOUTH OF T SHED,A,3400,10401122,4,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-05-31 11:43:37.247000
8074,104010242,4581,SOUTH OF T SHED,A,3401,10401123,4,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-05-31 11:43:37.247000
8075,104010243,4582,SOUTH OF T SHED GRAIN DEPOT,A,3402,10401124,4,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-05-31 11:43:37.247000
8076,104010244,4583,NORTH OF T SHED GRAIN DEPOTMSR,A,3403,10401126,4,,False,False,,,,,,,,,,,,,,,False,,True,4.00,,2022-05-31 11:43:37.247000
8077,104010245,4584,NORTH OF T SHED M S R,A,3404,10401127,4,,False,False,,,,,,,,,,,,,,,False,,False,,,2022-05-31 11:43:37.247000
