"plot_id","plot_code","rr_no","street_no","main_structure_name","location","plot_area_sqm","let_out_id","let_out_name","tenancy_id","unit_id","agreement_start_date","agreement_end_date","long_lease_years","letout_area_sqm","consumed_fsi","proposed_use","lease_start_date","lease_end_date"
3148,"101050044",RR NO.2040,,PRIVATE STRUCTURE,SEWREE (EAST),42853.02,537,RR NO.2040,"10105131",1,,,,4734.6700,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1961-07-01",""
3148,"101050044",RR NO.2040,,PRIVATE STRUCTURE,SEWREE (EAST),42853.02,537,RR NO.2040,"10105131",1,,,,42853.0200,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1961-07-01",""
3148,"101050044",RR NO.2040,,PRIVATE STRUCTURE,SEWREE (EAST),42853.02,537,RR NO.2040,"10105131",1,,,,976.1400,0.0000,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade","1961-07-01",""
3148,"101050044",RR NO.2040,,PRIVATE STRUCTURE,SEWREE (EAST),42853.02,537,RR NO.2040,"20701126",7,,,,,,"Factory for manufacturing of biscuits, cakes, confectionaries, preservatives & any other user as admissible under D.C.Regulations","1992-04-01",""
8043,"101050047","9", , , ,48.77,4550,"9",,,,,,,,,,
8044,"101050048",OLD RR 1984,"", , ,10346.98,4551,R R 1984,,,,,,,,,,
8046,"101050050","11 WEST OF A & C SITES", , , ,167.97,4553,"11 WEST OF A & C SITES",,,,,,,,,,
8047,"101050051","10 WEST OF A&C SITES", , , ,165.74,4554,"10 WEST OF A&C SITES",,,,,,,,,,
8048,"101050052","8", , , ,272.39,4555,"8",,,,,,,,,,
3198,"102010033","GWND OFFICE AT KALA CHOWKEY, SEWREE",,,FRERE LAND,330.18,585,"GWND OFFICE AT KALA CHOWKEY, SEWREE","20701208",7,,,,,,"","1951-07-01",""
3198,"102010033","GWND OFFICE AT KALA CHOWKEY, SEWREE",,,FRERE LAND,330.18,4937,"GWND OFFICE AT KALA CHOWKEY, SEWREE",,,,,,,,,,
3193,"102020010","137 (PORTION OF RR-2060)",,OPEN PLOT,FRERE LAND,35.12,580,"137 (PORTION OF RR-2060)","10202217",2,,,,35.1200,0.0000,storage of non-hazardous goods & office in connection therewith,"1978-12-22",""
3193,"102020010","137 (PORTION OF RR-2060)",,OPEN PLOT,FRERE LAND,35.12,580,"137 (PORTION OF RR-2060)","10202217",2,,,,35.1200,0.3200,storage of non-hazardous goods & office in connection therewith,"1978-12-22",""
3193,"102020010","137 (PORTION OF RR-2060)",,OPEN PLOT,FRERE LAND,35.12,580,"137 (PORTION OF RR-2060)","20701204",7,,,,,,"","1974-03-01",""
3220,"102020036",RR 2060 AT ARCHED BUNGLOW,,OPEN PLOT,FRERE LAND,2926.44,616,RR 2060 AT ARCHED BUNGLOW,"20701327",7,,,,,,"","1945-09-12",""
7993,"102020039",R R NO 2086, , , ,20.88,4500,R R NO 2086,,,,,,,,,,
7994,"102020040","28", , , ,1060.12,4501,"28",,,,,,,,,,
7996,"102020042","135", , , ,380.72,4503,"135",,,,,,,,,,
8051,"102020043","2 B (OLD 31B)", , , ,63.95,4558,"2 B (OLD 31B)",,,,,,,,,,
8052,"102020044","36", , , ,52.03,4559,"36",,,,,,,,,,
3225,"102030003","5",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),11.61,633,"5","10203104",2,,,,11.6100,0.0000,storage of non-hazardous goods & office in connection therewith,"1997-01-01",""
3225,"102030003","5",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),11.61,633,"5","10203104",2,,,,11.6100,1.3100,storage of non-hazardous goods & office in connection therewith,"1997-01-01",""
3225,"102030003","5",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),11.61,633,"5","20701335",7,,,,,,"","1942-01-10",""
3226,"102030004","6",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),11.15,634,"6","10203105",2,,,,11.1500,1.0000,storage of non-hazardous goods & office in connection therewith,"2003-11-01",""
3226,"102030004","6",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),11.15,634,"6","10203105",2,,,,11.1500,0.0000,storage of non-hazardous goods & office in connection therewith,"2003-11-01",""
3226,"102030004","6",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),11.15,634,"6","20701335",7,,,,,,"","1942-01-10",""
3230,"102030008","12",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),16.44,638,"12","10203111",2,,,,16.4400,0.0000,storage of non-hazardous goods & office in connection therewith,"1997-07-01",""
3230,"102030008","12",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),16.44,638,"12","10203111",2,,,,16.4400,1.4700,storage of non-hazardous goods & office in connection therewith,"1997-07-01",""
3230,"102030008","12",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),16.44,638,"12","20701336",7,,,,,,"","1941-12-12",""
3231,"102030009","13",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),18.97,639,"13","10203126",2,,,,18.9700,1.4500,storage of non-hazardous goods & office in connection therewith,"1997-07-01",""
3231,"102030009","13",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),18.97,639,"13","10203126",2,,,,18.9700,0.0000,storage of non-hazardous goods & office in connection therewith,"1997-07-01",""
3231,"102030009","13",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),18.97,639,"13","20701336",7,,,,,,"","1941-12-12",""
3231,"102030009","13",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),18.97,5974,CDAC NNN,,,,,,,,,,
3235,"102030013","2",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),22.30,643,"2 AND 3","10203102",2,,,,22.3000,0.0000,"","1960-03-01",""
3235,"102030013","2",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),22.30,643,"2 AND 3","10203102",2,,,,22.3000,0.0300,"","1960-03-01",""
3235,"102030013","2",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),22.30,643,"2 AND 3","20701337",7,,,,,,"","1941-12-15",""
3235,"102030013","2",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (J.B.),22.30,5015,"2 AND 3","10203102",2,,,,,,"","1960-03-01",""
3250,"103010003","26(NORTH OF GDN.C-19)",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),23.42,657,"26(NORTH OF GDN.C-19)","10301540",3,,,,23.4200,0.4500,storage of non-hazardous goods & office in connection therewith,"1966-08-22",""
3250,"103010003","26(NORTH OF GDN.C-19)",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),23.42,657,"26(NORTH OF GDN.C-19)","10301540",3,,,,23.4200,0.0000,storage of non-hazardous goods & office in connection therewith,"1966-08-22",""
3250,"103010003","26(NORTH OF GDN.C-19)",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),23.42,657,"26(NORTH OF GDN.C-19)","20701341",7,,,,,,"","2002-10-01",""
3255,"103010008","6 (NORTH OG GDN.  NO C-42 )",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),5.95,662,"6 (NORTH OG GDN.  NO C-42 )","10301535",3,,,,5.9500,0.0000,storage of non-hazardous goods & office in connection therewith,"1962-01-01",""
3255,"103010008","6 (NORTH OG GDN.  NO C-42 )",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),5.95,662,"6 (NORTH OG GDN.  NO C-42 )","10301535",3,,,,5.9500,1.0000,storage of non-hazardous goods & office in connection therewith,"1962-01-01",""
3255,"103010008","6 (NORTH OG GDN.  NO C-42 )",,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),5.95,662,"6 (NORTH OG GDN.  NO C-42 )","20701344",7,,,,,,"","1873-01-01",""
3264,"103010017",EAST PORTION OF SHED TW-2,,MbPT STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),5645.63,4186,EAST PORTION OF SHED TW-2,,,,,,,,,,
3288,"103010041",JETHA F 105,,PRIVATE STRUCTURE,MAZGAON SEWREE RECLAMATION (COTTON DEPOT),227.43,769,JETHA F 105,"10301530",3,,,,227.4300,0.0000,"","1997-05-09",""
